id,brand,title,description,price,cluster_id,pricecurrency,page_url
1010,,TISSOT EVERYTIME SMALL T109.210.22.031.00 (T109.210.22.031.00),,243.00,647,,
1011,,Crucial 8GB (1x8GB) DDR3L UDIMM 1600MHz ECC Unbuffered Single Stick Server Desktop PC Memory RAM,Crucial 8GB DDR3L 1600MT/s (PC3-12800) DR x8 ECC UDIMM 240p,229.00,849,,
1012,,Sony NEW Alpha 7S III Full-frame Interchangeable Lens Mirrorless Camera,"(paid link)Brand: SonyColor: BlackFeatures:✅12.1MP1 Exmor R sensor, optimized for 4K, sensitivity and speedNew BIONZ XR processing engine delivers 8x more processing power2Low noise images w/ ISO up to 409,6003 and 15+stop dynamic range4Up to 4K 120p5 10-bit 4:2:2 and full pixel readout in all rec. modesUp to 4K 120p5 in XAVC S (AVC), XAVC HS (HEVC) and XAVC S-I (All-I)Details: Introducing the Alpha 7S III – a new milestone in sensitivity, speed and image supremacy. Featuring an all-new 12.1MP backside illuminated full-frame sensor with twice the readout speed for ultra-clean low-light images up to ISO 409,600, 15+ stops dynamic range and 3x reduction in rolling shutter, plus Sony’s acclaimed fast hybrid autofocus with 759 phase detection AF points. A new BIONZ XR processing engine deliver 8x more processing power for up to 120p 4K 10-bit 4:2:2 and full pixel readout in all recording modes.EAN: 0027242920569Release Date: 24-09-2020Package Dimensions: 9.6 x 6.1 x 5.6 inches",3498.00,850,,
1013,,SanDisk Ultra Flair 32GB USB 3.0 Flash Drive,"This SanDisk Ultra Flair USB Flash Drive has a large 32 GB capacity so there's plenty of room to store your important photos, videos, documents and other large files. It has a durable metal casing so you can take your USB Flash Drive on the go without worrying about damage.",0.00,851,,
1014,,i.Pet 126cm Multi Level Cat Scratching Tree - Grey,"It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of fun scratching, hunting, climbing, jumping, hopping or simply lounging around. Plus, with its sisal-covered scratching posts, you can rest assured that your furniture will stay cat-free for a very long time. Not least, the tree is upholstered with a plush velvety surface for extra comfort and style. Best of all, the firm base and sturdy construction ensures that the tree remain a durable cat haven with total peace of mind for you. Can we hear a meow to that?FeaturesStable wooden constructionNatural sisal posts and soft plush coverMulti-level design with ample play areasSleeping cradlesUnique condo designIncludes scratching, perching, climbing, sleeping all in one pieceSpecifications:Material: Fir wood, plush cover, and sisalHeight: 126mBase dimension: 50cm x 50cmColour: Dark greyPackage Content1 x Cat tree1 x Assembly kit1 x Assembly guide",156.95,852,,
1015,,APC Smart UPS SMT1000RMI2U 1000VA Line Interactive,Power protection productsUPSAPCoffers a high level of protection for computers and electronics.,720,853,,
1016,,Monitor SamsungLC27F390FHU LED Curbat 27 inch 4ms black FreeSync,"27"" LED Curbat (1800R,27"",1920 x 1080,VA,250cd/m2,3,000:1;4(GTG) ms,178°(H)/178°(V),60Hz, FreeSync, D-Sub, HDMI, Headphone, VESA 75.0 x 75.0 mm,Tilt,Black high Glossy)",712.6050,745,,
1017,,Epson C13T70334010 T7033 Magenta Ink 10ml,"Who wants to spend time thinking about their printer? It should just work. We've developed our inks and printers to work in harmony, so that they'll do just that and give you consistent and reliable results without any fuss. That's because we invest in extensive research, high-tech manufacturing facilities and put our products through rigorous tests.But naturally, we can't say the same for inks that we've not created. There's no assurance from Epson that so-called compatible inks or remanufactured cartridges will deliver.Are you willing to put yourself at risk of unreliable yields and poor prints? Or worse, the cartridges failing to work or the printer breaking? Secure yourself against potential printing pitfalls by using genuine Epson ink. • Reference: T70334010• Inkjet cartridge for Epson printers.• Suitable for: Workforce Pro WP-4015DN/WP-4020/WP-4025DW/WP-4515DN/WP-4525DNF/WP-4530/WP-4535DWF/WP-4540/WP-4545DTWF.• Colour: Magenta.Type: Inkjet Cartridges, Brand: Epson, Colour: Magenta, Yield: Up to 800 pages, Ink Volume: 9.6ml, For use in: Epson Workforce Pro WP-4015DN, Epson Workforce Pro WP-4025DW, Epson Workforce Pro WP-4095DN, Epson Workforce Pro WP-4515DN, Epson Workforce Pro WP-4525DNF, Epson Workforce Pro WP-4535DWF, Epson Workforce Pro WP-4545DTFW, Epson Workforce Pro WP-4595DNF Barcode: 8715946499338Spicers code: 516445VOW code: EP49007",,854,,
1018,,Apple Wireless Charging Case for AirPods,"With the Wireless Charging Case, charging is as simple as placing your AirPods in the case and laying it on a Qi-compatible charging mat. The LED indicator on the front of the case lets you know that your AirPods are charging. And when you’re away from a charging mat, you can use the Lightning port to charge. The Wireless Charging Case works with all generations of AirPods and can hold multiple charges.",9.999E1,855,,
1019,,Western Digital Red Pro SATA III 4TB (WD4003FFBX),,,856,,
1020,,SanDisk 2TB E60 Extreme Portable SSD (SDSSDE60-2T00-G25) (Warranty 3years with Local Distributor),Warranty : 3 Years with Local Distributor - Convergent,589.00,857,,
1021,,Ubiquiti UniFi Video Camera G4 Pro,,415.47,858,,
1022,,"DDR4 8GB 2400 MHZ DIMM KINGSTON 1,2V CL17",,36.71,719,,
1023,,Cooler Master MasterLiquid ML360R RGB,,79400.00,859,,
1024,,TP-LINK TL-SG1024D Unmanaged Gigabit Ethernet (10/100/1000) Grijs,"24 10/100/1000Mbps RJ45 Ports (Auto Negotiation/Auto MDI/MDIX), IEEE 802.3i, IEEE 802.3u, IEEE 802.3ab , IEEE 802.3x, 294 x 180 x 44 mm, 100-240VAC, 50/60Hz",72.32,860,,
1025,,"GeForce® GTX 1660 SUPER™ Phoenix OC PH-GTX1660S-O6G, 1530 - 1830MHz, 6GB GDDR6, Graphics Card","ASUS Phoenix GeForce® GTX 1660 SUPER™ OC edition 6GB GDDR6 (PH-GTX1660S-O6G). Packs a Punch. The ASUS Phoenix GeForce® GTX 1660 SUPER™ is a high definition powerhouse packed into a compact layout. It boasts a large single fan with a Wing-blade design that has trickled down from top tier cards. This gives the Phoenix a performance boost over the competition, while keeping its size small enough to be compatible with most modern chassis. Just like its namesake, the Phoenix also boasts a long lifespan with features like IP5X dust resistance, dual ball fan bearings, and Auto-Extreme Technology. If you're looking for a nimble sidekick that will keep pushing pixels for years to come, the Phoenix is your beast.",248.57,463,,
1026,,Manfrotto 502AH Video Head & MT055XPRO3 Aluminum Tripod Kit,"Manfrotto 502 Heads - Tutorial VideoManfrotto Fluid Video Head Range - Tutorial VideoThis B&H Kit includes the Manfrotto 502AH Pro Video Head and the MT055XPRO3 Aluminum Tripod. The 502AH features a flat base and 15.5 lb payload, and the tripod offers a max height of 67\"" with the center column raised. The standard max height is 55\"".Manfrotto 502AH Pro Video Head with Flat BaseThe Manfrotto 502AH Pro Video Head with Flat Base is an affordable yet remarkably fully featured professional head that represents an advance over the popular 501HDV, with sturdier construction and featuring Manfrotto's patented bridging technology (inherited from the 509 and 504 heads). This head is designed for executing cinematic moves with compact camcorders and DSLR video cameras. The 502AH comes in two versions—the \""AH\"" flat-base version such as this, and the \""A\"" ball base version which is separately available.The weight capacity is 15.4 lb and counterbalance supports 8.8 lb. The balance plate's 3.27\"" range allows you to correct for uneven payloads due to matte boxes or DSLR rig configurations.The bridging technology ensures that the pan friction control is intuitive and easy to set, but also protected against knocks. There are independent locks for pan and tilt, and drag for both is selectable in a continuous range from zero to the max level. This allows you to operate the head in a confident, smooth manner using the included pan bar.Pan drag and tilt drag are continuously adjustable from 0 (no drag) to the maximum levelSliding quick release plate secured by secondary safety systemUPC: 719821334651Manfrotto MT055XPRO3 Aluminum TripodThe Manfrotto MT055XPRO3 Aluminum Tripod is a three-section support that replaces the 055XPROB tripod. It has a load capacity of 19.8 lb and extends from 3.5\"" to 66.9\"". Its legs are secured by the Quick Power Locks. These updated flip locks increase the tripod's rigidity by 50%, and its load capacity by 4.4 lb over its predecessor.A redesigned center column has a \""one finger\"" operation, and includes an Easy Link attachment for attaching accessories such as an LED light or a reflector. The center column can be positioned horizontally, allowing for low-angle and macro photography. The upper disc where a tripod head is mounted has been redesigned as well, and now has a bull's eye bubble level that rotates 360° so you can locate it where you can see it. This allows you to level your camera on both the horizontal and vertical planes.UPC: 719821364634In the BoxManfrotto 502AH Pro Video Head with Flat BasePan BarManfrotto 504PLONG Long Quick Release Mounting PlateLimited 6-Month Warranty, Extendable to 5 Years with Product RegistrationManfrotto MT055XPRO3 Aluminum TripodUser Manual1.2 MB",9.899E3,861,,
1027,,"Hikvision DS-7608NI-I2-8P 8ch PoE CCTV NVR, 80Mbps 8 PnP ports, 4K, 2 HDD Bay + 3TB Hard Drive","Hikvision s HIK-DS-7608NI-I2/8P-3TB is an 8 channel embedded plug and play network video recorder. Part of Hikvision s I Series NVR range, it houses a 4-core processor from Huawei and supports H.264+ intelligent compression which aims to reduce bandwidth and storage requirements by up to 50%. Additionally, this NVR combines multiple advanced technologies such as audio and video decoding technology, network technology and intelligent technology, all contributing factors to the I Series range running smoother than previous generations. Featuring 8 PoE network interfaces for easy plug and play setup and capable of 4K(UHD) video output via HDMI and 1080P via VGA, this NVR supports up to 12MP resolution recording. This high performance and reliable unit is flexible and can be installed for decent-sizes domestic and commercial installations where a complete HD surveillance experience is required. Security HDD-3TB installed8 Plug & play independent PoE interfacesSupports up to 8 Channels80Mbps throughputUp to 12 Megapixels resolution recordingSupports H.264, H.264+, H.265 and H.265+ compression technologyHDMI output to 4K(3840?2160)VGA output at up to 1080P resolution2 SATA interface - Up to 12TB StorageDual-OS Ensures High reliabilityVideo Content Analytics (VCA)Mobile Application & PC clientP2P - Quick remote access setupUser Manual of DS-7608/7616NI-I2/8P(16P)User Manual of DS-7600NI-I2Datasheet of DS-7600NI-I2/xP",885.00,862,,
1028,Apple,Apple Apple AirPods with Wireless Charging Case,,199.00,863,,
1029,,"KINGSTON - CanvSelect Plus 32GB SDHC, 100R","KINGSTON CanvSelect Plus 32GB SDHC, 100R (SDS2/32GB) - Minnestørrelse: 32GB - Type: SDHC",84.00,864,,
1030,Apple,Apple Apple Wireless Charging Case for AirPods,,79.00,865,,
1031,Shimano,Shimano XT RT86S 180mm 6-Bolt IceTech Disc Brake Rotor,3-layer structure with aluminum core and two stainless steel outer layers reduces rotor surface temperature approximately 100 degrees Celsius compared to all-steel rotorsAluminum spiderIncludes rotor fixing bolts and non-turn washers,55.0,866,,
1032,,Catalyst 2960-x 24 Gige,Catalyst 2960-x 24 Gige 2 X 10G SFP+ LAN BASE IN,2995.01643,50,,
1033,,3M - Privacy filter PF 14.1W |19 cm x 30.4 cm|,3M Privacy filter PF 14.1W |19 cm x 30.4 cm| (98044054090) - Typ: Skärmskydd,943.51,210,,
1034,,Replica watch TAG Heuer Carrera Calibre 16 CBK2110.FC6266,"Are you looking for the AAA qualitywith low price replica TAG Heuer Carrera Calibre 16 CBK2110.FC6266 watch? Watchesyoga.co will be your good choice,We can offer Grand choice 1:1 Replica watches include almost all luxury brands,Offer the best replicas with a reasonable price,It is the best Choice below $300.Basic information for Genuine watchBasic InfoReference number CBK2110.FC6266Brand TAG HeuerModel Carrera Calibre 16Movement AutomaticCase material SteelBracelet material Crocodile skinCondition NewGender Men's watch/UnisexCaliberMovement AutomaticCaseCase material SteelThickness 41 mmGlass Sapphire GlassDial BlackBracelet/strapBracelet material Crocodile skinBracelet color BlackClasp Fold claspBuy High quality Replica Tag Heuer Carrera Calibre 16 Chronograph 41mm Mens Watch CBM2110.BA0651 From China with low Price,Cheap 1:1 fake tag heuer Carrera CBM2110.BA0651 perfect functions.",122.4,867,,
1035,,TAG Heuer Mens Black Dial Formula 1 Alarm Watch,"This TAG Heuer Formula 1 Watch captures the essence of this named collection which is reflected in the aesthetics and detailing of this timepiece. Bold in appearance with a sporty edge this watch is definitely one for motor racing enthusiasts. The Formula 1 collection takes its name from the prestigious racing car sport and as such, is specifically designed to defy the natural elements. This range allows wearers access to the excellence of Swiss watch-making with distinguishable features similar to that of a dashboard. Durability combined with cutting edge materials make the Formula 1 line an exceptional choice for a first Swiss watch.",1200,868,,
1036,,Original Epson T9454 Yellow High Capacity Inkjet Cartridge - (C13T945440),Epson Original T9454 Yellow High Capacity Inkjet Cartridge - (C13T945440),80.17,869,,
1037,LACIE,LaCie 2TB Rugged Mobile USB-C,"2TB, 130MB/s, 1 × USB-C (USB 3.0), Drop/Crush/Water resistance, 100 g",1.5999E2,544,,
1038,KINGSTON,Memorie externa Kingston DataTraveler 80 32GB USB 3.2 Type-C,"USB Flash Drive Kingston 32GB Data Traveler 80, USB 3.2, R/W: 200/60 MB/s, Compatible with Windows/Mac OS/Linux/Chrome OS",47.41,870,,
1039,,INTEL CORE I7 8700K / 3.7 GHZ PROCESSOR,"TECHNOLOGYProcessor TypeDesktopLaunch DateQ4'17Unlocked MultiplierYesMultimedia InstructionsSSE4.2SSE4.1AVXSSESSE2SSE3AESMMXSSE4AVX2EM64TNX / XDFMA3F16CSSSE3BMI1VT-xTBT2.0 / Turbo Boost TechnologyVT-dVR ReadyYesAdvanced TechnologiesAES New InstructionsIdle StatesThermal Monitoring TechnologiesExecute Disable BitIntel Virtualization Technology (VT-x)Intel 64Enhanced Intel SpeedStep TechnologyIntel Virtualization Technology for Directed I/O (VT-d)Intel Turbo Boost 2.0 TechnologyIntel vPro TechnologyIntel TSX-NIIntel Stable Image Platform Program (SIPP)Intel Optane MemorySPECIFICATIONSCompatibilityIntel B360Intel H310Intel H370Intel Q370Intel Z370Intel Z390CPU CoreCoffee LakeProcessorCore i7-8700KOperating Frequency3.7GHzTurbo Speed4.7GHzCoresSix-CoreNumber of Threads12 Processing ThreadsSocket TypeLGA 1151Level 3 Cache12 MB SharedThermal Power95WMaximum Operating Temperature100CProcessor Architecture14nmProcessor Data Width64-Bit GRAPHICS SPECIFICATIONSGraphics SpecificationsIntel UHD Graphics 630Graphics CoreIntel HD GraphicsGraphics Base Frequency350 MHzGraphics Max Dynamic Frequency1.20 GHzIntel HD GraphicsYesIntel HD Graphics with Dynamic FrequencyYesIntel Quick Sync VideoYesIntel InTRU 3D TechnologyYesIntel Clear Video HD TechnologyYesDual Display CapableYes MEMORY SPECIFICATIONSIntegrated Memory ControllerYesMaximum Memory Supported64GBMemory TypeDDR4-2666Memory Channels Supported2 EXPANSION OPTIONSPCI Express Revision3.0PCI Express Configurations1 x16, 2 x8, 1 x8+2 x4PCI Express Ports16 WARRANTYLabor3 YearsParts3 Years PACKAGE CONTENTS What's in the BoxProcessor",379.99,871,,
1040,,"RAM Large Tough-Claw Clamp w 1\"" Ball (RAP-B-401U)","Included:1 x RAM® Large Tough-Claw Clamp w 1\"" Ball (RAP-401U)The RAP-B-401URAM Large Tough-Claw™ is the perfect mounting base for quick and easy tool-less installation and removal on round, square, odd shaped rails and bars.TheRAP-B-401Ucan be clamped on rails from 1\"" to 2.25\""outer diameter.Ideal for mounting tablets, action cameras, smartphones, rod holders for rod storage and much more in a wide variety of applications.Perfectly suited for mounting on the yoke of an aircraft, handlebars and seat posts of bicycles, kayak rails, roll bars and much more, the RAM® Tough-Claw™ will soon become another essential RAM® component in your collection of mounting options.SpecificationsClamping Range (Rail/Tube Surfaces):1\"" to 2.25\""Clamping Range (Flat Surfaces):0\"" to 2.2\""Physical Dimensions:Height: 6\""Width: 2.25\""Features:1. High strength glass-filled nylon construction with corrosion-resistant stainless steel hardware2. Rubber pads provide stable, even gripping and protection of mounting surface3. Clamp jaw is configured for round, flat and odd shapes4. Quick installation and removal of Tough-Claw™5. Lifetime Warranty!Material:High Strength Composite and Stainless Steel HardwareBall Size:B Size 1\"" Rubber BallNote:The \""U\"" in the part number reflects product packaged in poly bag.",86.65,872,,
1041,CISCO,Cisco Ws-c3850-48f-l 48 10/100/1000 Ethernet Poe+ Ports Switch,,1791.61,11,,
1042,,"Seagate IronWolf Pro 8TB NAS Hard Drive 3.5"" 7200RPM 256MB Cache","7200RPM Spin Speed, SATA III Interface, 128MB Cache, 3.5"" Form Factor, 5 Year Warranty",220.14,418,,
1043,,"Zebra C Series Black Monochrome Ribbon For P3xx, P4xx, P5xx printers - 1000 prints (800015-101)","Prints Per Roll: 1000 printsCompatible with: Zebra iSeries printers P310i, P320i, P330i, P330m, P420i, P430i and P520i and Zebra C Series printers",20.00,873,,
1044,Epson,Epson Papir Photo Premium Glossy A3 20-Ark 255g,,595,301,,
1045,,Manfrotto BEFREE ADVANCED ALU TRAVEL LEVER BH BLK,Sporting a 17.6 lb load capacity at a weight of only 3.6 lbthe black Befree Advanced Travel Tripod from Manfrotto is a robust support option that can serve as a convenient travel companion for professional photographers and passionate hobbyists alike. It features a full aluminum-alloy construction and reaches a maximum height of 59.1 inchwith its column extendedfolding down to 15.7 inchin length for simplified transport in its included carrying case.Each leg of the Befree Advanced is composed of four sectionswhich can be adjusted and securely locked into place with the QPL lever locks found on all segments. A side-pull selector allows you to set up the tripod at three different angle configurationsenabling low angle shooting with the simple push of a button. Complementing the legs is an equally sturdy center ball headwhich offers a dedicated knob for panoramic movement as well as a friction control knob for precise control over the tension during use. The final element is a quick release platewhich offers dual compatibility for RC2 and Arca-type compatible systemsexcept for the Manfrotto 804-3W and MH804-3W tripod heads.An Easy Link attachment is available at the top portion of the leg sectionand allows you to connect compatible accessories such as flashes or reflectors. This enables you to use the tripod as a support system and reduce the amount of gear you need to carry while travelling. Rubberized feet are used to avoid skidding and help keep the Befree Advanced stable in most types of terrain. Finallyan integrated hook found at the bottom can be used to add a weight and increase the stability of your tripod when shooting in more difficult conditions.FeaturesLoad Capacity: 17.6 lbMax Height: 59.1 inchFolded Length: 15.7 inchLeg Sections: 4Weight: 3.6 lb494 Ball Head with Pan & Friction KnobsRC2 and Arca-Type Compatible QR PlateQPL Lever Leg LocksEasy Link Attachment and Integrated HookThree Leg Angles with Side-Pull Selector,399.00,874,,
1046,Ubiquiti,Ubiquiti UniFi Video Camera G3 Pro,"&#1042;&#1080;&#1076;&#1077;&#1086;&#1082;&#1072;&#1084;&#1077;&#1088;&#1072; 1080p, 30 FPS, EFL 3-9 &#1084;&#1084;, ?/1.2 - ?/2.1",23210,875,,
1047,,Apple AirPods with Wired Charging Case,"Brand: AppleColor: WhiteFeatures: Automatically on, automatically connectedEasy setup for all your Apple devicesQuick access to Siri by saying “Hey Siri”Double-tap to play or skip forwardNew Apple H1 headphone chip delivers faster wireless connection to your devicesCharges quickly in the caseCase can be charged using the Lightning connectorRich, high-quality audio and voiceSeamless switching between devicesListen and talk all day with multiple charges from the Charging CaseBinding: Wireless Phone AccessoryPublisher: Apple ComputerRelease Date: 26-03-2019Details: The new Air Pods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, Air Pods now feature hands-free access to Siri using just your voice. And up to 3 hours of talk time on a single charge.UPC: 190199098428EAN: 0190199098428Package Dimensions: 3.9 x 3.9 x 1.4 inches",1.29E2,876,,
1048,,Xiaomi Redmi Note 8 Pro 64GB - Pearl White,"6.53\"" FHD+ (2340x1080) with Gorilla Glass 5 (Front/Back), Dual SIM, Mediatek Helio G90T Octa-core, 6GB RAM, 64GB Flash, Quad Camera System: 64Mpixel f/1.9 + 8Mpixel f/2.2 + 2Mpixel f/2.4 + 2Mpixel f/2.4 (Back), 20Mpixel f/2.0 (Front), microSD, Android 9.0 (Pie), 4500 mAh battery, 200 gram",232.97,877,,
1049,,Pokémon: Sword & Shield 2 - Rebel Clash Elite Trainer Box,,1095.00,878,,
1050,Logitech,Logitech C920 webcam 15 MP 1920 x 1080 pixels USB 2.0 Noir,"Logitech C920, 15 MP, 1920 x 1080 pixels, 720p,1080p, H.264, USB 2.0, Noir",127.56,879,,
1051,,BELKIN - Lightning to USB DuraTek Plus Cable 1.2m Black /F8J236bt04-BLK,BELKIN Lightning to USB DuraTek Plus Cable 1.2m Black / F8J236bt04-BLK (F8J236BT04-BLK) - Typ: Mobiltelefon - Koppling 1: Lightning - Koppling 2: USB A,706.25,880,,
1052,MSI,MSI GAMING Radeon RX 570 8GB GDDR5 256-Bit DirectX 12 Graphics Card (RX 570 ARMOR 8G OC),"Experience the next level of immersion with the world of VR gaming and entertainment with MSI RX 570 ARMOR 8G OC graphics card powered by the revolutionary AMD Polaris architecture. Puts an end to choppy gameplay and broken frames with fluid, artifact-free performance at virtually any framerate. Enhanced contrast and colors deliver a strikingly sharp, colorful, and vivid visual experience.Chipset: AMD Radeon RX 570. Video Memory: 8GB GDDR5. Output: DisplayPort x 3/HDMI/DL-DVI-D. Memory Interface: 256-bit; Bus: PCI-Express x16.",329.98,304,,
1053,RAM,RAM Large Tough-Claw Clamp B-Size (RAP-B-401U),"The RAM Tough-Claw is the perfect mounting base for quick and easy tool-less installation and removal on round, square, odd shaped rails and bars.The Tough-Claw can be clamped on rails from 1\"" to 2.25\"" outer diameter.Ideal for mounting tablets, action cameras, smartphones, rod holders for rod storage and much more in a wide variety of applications. Perfectly suited for mounting on the yoke of an aircraft, handlebars and seat posts of bicycles, kayak rails, roll bars and much more, the RAM Tough-Claw will soon become another essential RAM component in your collection of mounting options.",89.00,881,,
1054,,TAG HEUER MONACO CALIBRE 11,		SIZE	39 mm x 39 mm			WATER RESISTANCE	100 M			BODY CASE	Fine-brushed and polished steel	,0,632,,
1055,,Manfrotto MVH502AH Head Pro Video 502AH,"This Manfrotto 502HD Pro Video Head has a flat base (3/8″-16 connection) and is an affordable yet remarkably full-featured professional head that represents an advance over the popular 501HDV, with sturdier construction. It features Manfrotto's patented bridging technology (inherited from the 50…",296.12,379,,
1056,Pokemon,Pokemon Pokemon Rebel Clash Elite Trainer Box,,39.99,878,,
1057,SONY,SONY Sony Alpha a7RIV Full Frame Mirrorless Digital Camera (Body Only) E-mount,,3499.99,882,,
1058,LaCie,LaCie Mobile Drive USB 3.1 Gen2 Typ C 2TB moon silver,"LaCie Mobile DriveSleek Design. Lavish Space.Like an airy loft or vast landscape, LaCie Mobile Drive articulates the beauty and importance of premium space.With up to 5TB of capacity, there’s room for photos, playlists, docs, and more. And with Mac®, Windows®, USB-C, and USB 3.0 compatibility, access is easy. One-click or automatic backup makes file storage smooth, and our 30th anniversary diamond-cut design has an edge like no other.More Capacity for More MemoriesWhen it comes to our digital lives, not much tops the affection we have for photos and videos. And these memories add fast. LaCie Mobile Drive offers up to 5TB of massive on-the-go space for everything worth storing and backing up. Even music, movies, and personal documents.There to help you is LaCie Toolkit—easy-to-use software for one-click backups, scheduled automatic backups, and even folder mirroring across multiple devices.Back Up. Stand Out.For over 30 years we’ve believed and proven that external hard drives can be more than tools—they can be exquisite solutions. Celebrating this expertise and commitment is an exclusive diamond-cut anniversary design.Fly Faster with SSD.If max speed is what you crave, meet LaCie Mobile SSD—a hyper-fast solid state drive dishing up to 540MB/s for high-res transfers and flash-induced bliss in apps like Final Cut Pro®, Aperture®, iMovie®, and QuickTime.®",89.95,883,,
1059,,"8ch Hikvision, high bandwidth NVR with 8x PoE","8ch, Hikvision Network Video Recorder 8 independent PoE network interfaces are provided 8MP(4K) cameras supported Bandwidth: 80Mbps incoming, 256Mbps outgoing H.265 Pro+/H.265 Pro/H.265 video compression 4K HDMI &amp; 1080p VGA video outputs Up to 8 TB capacity per HDD, 2 x HDD supported Dimensions (W x D x H): 385 x 315 x 52mm",216.00,884,,
1060,Daniel Wellington,Relógio Daniel WellingtonDW00100007 Classic Sheffield,Rose Gold & Black Gents Quartz Watch,,885,,
1061,Ubiquiti,Ubiquiti UniFi Video Camera G3 FLEX 3-Pack (UVC-G3-FLEX-3),"1080p Full HD, 25 FPSBuilt-in IR illuminators for night vision Powered by 802.3af Power over Ethernet High sensitivity microphoneWeather resistant for outdoor operation",176.148,886,,
1062,,RAM Tough-Claw Yoke Mount - Large,"The RAM Tough-Claw is the perfect mounting base for quick and easy tool-less installation and removal on round, square, odd shaped rails and bars. Ideal for mounting tablets, action cameras, smartphones and much more in on your general aviation Yoke.Perfectly suited for mounting on the yoke of an aircraft, handlebars and seat posts of bicycles, kayak rails, roll bars and much more, the RAM Tough-Claw is another essential RAM component in your collection of mounting options. High strength glass filled nylon construction with corrosion resistant stainless steel hardware.Rubber pads provide stable, even gripping and protection of mounting surface Clamp jaw is configured for round, flat and odd shapes 1\"" rubber balls are compatible with numerous RAM arms and mountsQuick installation and removal of Tough-ClawLifetime Warranty! Made in U.S.A.Clamping Range (Rail/Tube Surfaces): 1.0\"" to 2.25\""Clamping Range (Flat Surfaces): 0\"" - 2.2\""Ball Size: 1\"" BallRAP-B-401U",48.99,887,,
1063,,Asus TUF Gaming X570-Plus,"Placa base ATX, AM4, AMD X570, 4x32GB RAM Dual DDR4-4400(OC), 8SATA3+2M.2,Realtek Gigabit, 3USB3.1, RGB",240.00,758,,
1064,,Cisco Catalyst 2960-Plus 48PST-L - switch - 48 ports - managed - rack-mount,"The Cisco Catalyst 2960-Plus series switch is a fixed-configuration Fast Ethernet switch that provides enterprise-class Layer 2 switching for branch offices, conventional workspaces, and infrastructure applications.",4089.99,888,,
1065,,"Super Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgelsSuper Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgelsSuper Ubiquinol CoQ10 with Enhanced Mitochondrial Support™ | 50 mg, 30 softgels",,15.00,889,,
1066,,Pokémon TCG Elite Trainer Box Darkness Ablaze,,49.99,890,,
1067,,"Plaquettes - Road disc, Level A1 (17-19) -Sintered/steel",,0,891,,
1068,,Corsair Hydro Series H55 Core High-Performance Quiet CPU Cooler,"Your PC will run cooler and quieter when you replace your CPU's standard heatsink with a Hydro Series H55.Installation is straightforward: if you can get to the back of your PC's motherboard, you can install an H55. All you'll need is a screwdriver.The compact components and flexible tubing make Hydro Series H55 easy to install even if you're cramped for space. It allows you to improve your CPU's cooling efficiency even in most compact cases - as long as your case has a 120mm fan mount near the CPU, H55 will probably fit.Model Name: H55Warranty: 5 Years WarrantyBarcode: 843591034470Product Type: CPU CoolerProduct Family: Hydro",POA,892,,
1069,QBP,Park Tool PH-1.2 P-Handle Hex Set with Holder,"Park Tool Hex wrenches made from industrial tool steel, hardened and tempered for shop use. Available in Y, L-Shape and folding versionsWall Mount does include Hex Tools: 2, 2.5, 3, 4, 5, 6, 8 & 10mmY-Wrenchs not included but easily fit into base of holderHigh-torque industrial steel hexesPrecision chamfered tips for accurate fitErgonomically designed nylon handle fits comfortably in mechanics handMounts easily onto pegboard using minimum space while keeping tools organized",76.95,893,,
1070,,R7000 SPD-SL Carbon Road Pedals,"SPD-SL road pedal for high performance road racingDesigned to match the 105 11-speed groupWide lightweight carbon body provides large shoe contact area to maximise power transfer and support whilst reducing weightLow profile design increases road clearance for increased confidence when slicing through cornersLarge binding target allows quick engagement while wide cleats provides more efficient pedallingStainless steel pedal body plate for increased durabilityOpen design allows for easy access and cleat adjustmentLow maintenance sealed cartridge axle unitThree types of shoe cleats available: fixed, 3 degrees of float in each direction, or 3 degrees of float from a font-centre pivotWeight: 285gper pair",99.99,894,,
1071,,HyperX FURY 8GB DDR3 1600MHz Memory,RAM type:Unbuffered DIMM (non-ECC)|Capacity:8 GB|No. of modules:1|Ranks:Dual rank|Clock speed:1600 MHz|Timing:CL10|No. of pins:240|Product type:Memory|,53.90,895,,
1072,,Sandisk Extreme Pro SDXC Card 128GB - 170MB/s V30 UHS-I U3,,929,221,,
1073,,"Samsung SSD 1TB 860 Pro SATA 6Gbps 2.5\"" V-NAND MLC 560/530 MB/s Max. 100K IOPS / 90K IOPS 1200TBW endurance /5yrs","SSD Samsung, 1TB, 860 Evo, retail, SATA3, rata transfer r/w: 550/520 mb/s, 7mm",1417.9802,896,,
1074,,PD-R7000 SPD-SL PEDALS CARBON 105,,259.0,897,,
